country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Honduras,,,,,,1.44,1.96,2.78,3.27,1.5,2.63,3.39,2.02,0.269,1.87,1.01,1.48,6.25,1.27,1.43,,2.26,2.58,1.63,2.45,,2.42,,2.48
Hungary,,,,,4.15,5.65,5.18,6.93,5.79,18.1,20.6,22.7,26.5,24.2,24.9,25.8,29.1,25.8,24.1,23.8,23.3,24.9,24.1,22.7,17.9,16.3,13.7,,14
Iceland,27.7,5.34,10,1.95,3.72,4.35,21.1,16.5,19.9,19.9,20.5,16.6,12.9,10.1,12,13.6,14,34,46.9,60.7,40.7,31.4,21,20.9,14.3,15.5,16.9,19.9,23.2
India,4.07,4.2,3.94,4.69,4.05,4.25,4.78,5.8,6.87,6.54,5.62,5.74,6.26,6.97,6.24,5.95,6,5.8,6.07,6.4,6.78,9.09,7.18,6.87,6.63,8.07,8.59,7.52,7.13
Indonesia,,1.45,1.59,1.9,3.07,4.54,6.65,7.34,8.96,11.6,10.4,10.4,16.4,14.2,16.7,14.8,16.4,16.5,13.5,11,10.9,12.9,9.78,8.33,7.3,7.05,6.97,6.63,5.79
Iran,,,,,,,,,,0.147,0.239,0.348,0.608,1.11,1.53,1.67,1.86,2.49,6.31,,,,4.46,4.12,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,0.0778,,,,,
Ireland,42.3,43.6,41.1,38.4,36.6,40.1,40.9,46,46.8,46.5,44.4,47.1,47.8,47.6,40.8,34.7,34,34.7,34.5,27.3,25.7,24.3,20.8,21.2,22,21.7,20.4,26.8,29.1
Israel,9.93,10.7,10.7,11.3,11.7,12,13,16,17,18.5,19.8,19.3,19.4,18.6,15.5,16.8,16.9,14,14.5,7.48,11.1,17.6,14.7,14,15.8,15.6,16,19.7,18.4
Italy,7.21,7.24,7.79,8.2,8.55,8.58,8.38,8.13,7.9,7.61,8.09,8.28,9.48,9.56,9.19,8.03,8.04,7.98,7.33,6.26,6.4,7.47,7.24,7.37,7.07,7.24,7.24,,7.49
Jamaica,,,,0.126,0.126,0.074,0.0499,0.0344,0.0465,0.0539,0.0792,0.0392,0.059,0.0314,0.146,0.048,0.124,0.0882,0.114,0.205,0.432,0.515,0.57,0.639,0.626,0.667,0.557,0.0856,0.429
Japan,23.9,24.6,24.2,24.2,24.1,24.6,25.5,26.5,26.1,26.4,26.2,26.6,28.7,26.6,24.8,24.4,24.1,23,22.1,18.4,17.3,18.8,18,17.5,17.4,16.8,16.7,16.8,16.2
Jordan,,0.213,1.59,2.81,1.06,1.55,7.88,4.33,,5.7,1.96,5.71,5.77,7.05,3.3,1.78,1.9,1.6,1.23,1.13,0.917,1.41,2.86,2.51,2.25,1.6,1.55,1.82,1.92
Kazakhstan,,,,,,,,4.46,5.17,5.45,7.74,8.84,0.944,3.24,11.2,8.73,8.8,11.3,20.9,21.4,21.9,29.9,34.2,24.7,30,36.7,37.2,41.2,30.4
Kenya,,,4.03,3.03,1.58,2.35,3.4,3.59,4.04,4.43,4.5,3.28,3.88,4.94,10.6,3.6,3.2,2.9,3.24,5.51,4.15,5.31,5.7,,,3.76,,,
Kiribati,,,,,,,,,,,,,,,,,,,,0.848,11.7,33.8,42.7,,38.5,0.692,,,4.07
Kuwait,1.21,1.95,3.38,2.6,5.02,2.35,19.8,1.33,1.1,0.31,0.37,1.37,0.17,0.179,0.153,0.11,0.117,,0.343,0.476,0.299,0.52,3.01,2.7,,1.43,0.13,2.72,1.91
Kyrgyz Republic,,,,,,,,7.88,15.4,,10.8,3.48,15.4,17.1,6.16,1.96,9.47,1.84,2.88,2.15,3.05,4.94,0.978,3.01,4.64,5.29,,11.9,18.5
Lao,,,,,,,,,,,,,,,,,,,,,,,6.62,8.04,8.7,9.49,24.9,35.2,33.6
Latvia,,,,,,,5.53,5.17,5.2,6.26,3.98,4.06,3.96,3.77,3.87,4.59,4.89,5.31,6.82,6.95,6.95,7.76,7.64,8.24,9.78,13,15,,12.5
Lebanon,,,,,,,,,,3.29,3.05,2.6,2.34,2.49,2.38,2.14,2.42,2.83,2.76,2.24,2.44,4.53,12.8,2.38,2.01,2.21,2.07,,2.37
Lesotho,,,,,,,,,,,,,0.283,0.517,0.619,0.0754,0.0469,,,,0.217,0.312,0.713,0.0234,0.00342,,,,
Lithuania,,,,,0.4,,5.28,3.66,3.58,3.79,3.29,3.3,4.46,4.99,3.77,4.79,4.72,6.15,8.06,10.8,11.1,9.99,10.6,10.2,10.4,10.3,10.1,11.9,11.7
Luxembourg,,,,,,,,,,,,14.6,16.6,19.2,15.5,12,10.5,11.9,11.6,8.76,6.42,8.78,8.37,8.81,8.41,6.58,5.7,6.82,7.6
"Macedonia, FYR",,,,,,,2.17,3.23,1.57,2.24,1.94,0.88,1.24,1.09,1.38,1.35,1.17,1.08,1.11,0.832,,2.95,3.38,3.9,3.89,3.63,3.1,2.99,1.96
Madagascar,,,8.07,1.43,0.942,9.03,1.86,1.21,2.22,0.859,18.3,3.31,0.572,0.906,1.04,0.647,0.566,0.782,1.17,1.06,0.663,1.65,1.04,9.69,0.373,0.299,0.571,0.186,0.648
Malawi,,,0.0887,0.177,,,2.94,1.55,0.838,0.82,0.359,0.794,2.03,2.87,0.16,0.364,0.956,3.1,1.81,1.38,1.88,2.81,1.29,3.18,1.66,5.97,2.52,2.16,
Malaysia,40.6,38.4,38.2,38.2,38.9,41.1,44.3,46.1,44.4,49,54.9,58.9,59.6,58.1,57.9,58.5,55.7,54.6,53.8,52.3,39.9,46.6,44.5,43.4,43.7,43.6,43.9,42.8,43
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0253
Mali,,,,,,,,,2.55,6.8,5.21,3.85,14.8,6.49,9.47,4.3,4.16,5.14,7.05,7.94,1.47,,2.4,3.02,1.25,,,,4.71
Malta,,,44.9,51.9,55.7,52.2,60.1,,58.9,56,60.4,61.7,71.6,61.7,59,60,58.1,52,58.1,52.4,50.2,48,47.1,47.2,45.7,38.6,34.4,30.2,21.5
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00205
Mauritius,,,0.561,0.501,0.456,0.483,0.918,0.963,0.59,0.77,1.21,1.15,1.05,1.24,2.3,5.3,4.51,1.81,24.2,8.25,7.24,1.86,0.691,0.796,0.926,0.561,0.0233,0.0596,0.0697
